respondent_id,has_seen_any_star_wars_film,has_seen_any_star_wars_film_binary,is_star_wars_fan,is_star_wars_fan_binary,fan_segment,total_movies_seen,movie_consumption_segment,has_complete_movie_ranking,which_character_shot_first,is_familiar_with_expanded_universe,is_familiar_with_expanded_universe_binary,is_expanded_universe_fan,is_expanded_universe_fan_binary,is_star_trek_fan,is_star_trek_fan_binary,gender,age,household_income,education,location_census_region,has_demographic_info,average_character_opinion_score,audience_type,audience_type_order
3292148570.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,18-29,"$50,000 - $99,999",graduate degree,west north central,1,0.5,Jedi fiel,1
3292144665.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,no,0.0,male,18-29,"$0 - $24,999",high school degree,new england,1,1.3571428571428572,Jedi fiel,1
3292143503.0,yes,1,no,0.0,not_fan,5,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,18-29,"$50,000 - $99,999",bachelor degree,pacific,1,0.5833333333333334,Explorador casual,3
3292131636.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,no,0.0,no,0.0,male,18-29,"$150,000+",bachelor degree,pacific,1,0.6153846153846154,Jedi fiel,1
3292125068.0,yes,1,yes,1.0,fan,1,low_consumption,1,greedo,no,0.0,,,yes,1.0,male,30-44,"$100,000 - $149,999",graduate degree,pacific,1,-0.3333333333333333,Rebelde nostalgico,2
3292120160.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,no,0.0,male,18-29,"$100,000 - $149,999",some college or associate degree,new england,1,1.5,Jedi fiel,1
3292103680.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,30-44,"$50,000 - $99,999",some college or associate degree,pacific,1,0.5,Jedi fiel,1
3292050153.0,yes,1,no,0.0,not_fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,18-29,"$0 - $24,999",some college or associate degree,pacific,1,0.7692307692307693,Explorador casual,3
3292041365.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,yes,1.0,male,18-29,"$150,000+",some college or associate degree,east south central,1,0.8571428571428571,Jedi fiel,1
3292033243.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,yes,1.0,no,0.0,male,18-29,"$50,000 - $99,999",some college or associate degree,south atlantic,1,1.6428571428571428,Jedi fiel,1
3292031637.0,yes,1,no,0.0,not_fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,18-29,"$25,000 - $49,999",graduate degree,east south central,1,1.181818181818182,Explorador casual,3
3292008762.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,yes,1.0,male,18-29,"$25,000 - $49,999",some college or associate degree,east south central,1,0.6428571428571429,Jedi fiel,1
3291992352.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,30-44,"$100,000 - $149,999",graduate degree,west north central,1,1.1666666666666667,Jedi fiel,1
3291945498.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,30-44,"$50,000 - $99,999",graduate degree,west north central,1,1.0,Jedi fiel,1
3291940517.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,18-29,"$100,000 - $149,999",bachelor degree,west north central,1,0.9285714285714286,Jedi fiel,1
3291871486.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,no,0.0,yes,1.0,male,18-29,"$100,000 - $149,999",graduate degree,south atlantic,1,1.6428571428571428,Jedi fiel,1
3291778150.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,18-29,"$25,000 - $49,999",bachelor degree,middle atlantic,1,1.8571428571428568,Jedi fiel,1
3291766314.0,yes,1,no,0.0,not_fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,30-44,"$50,000 - $99,999",high school degree,pacific,1,1.0,Explorador casual,3
3291762799.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,30-44,"$50,000 - $99,999",some college or associate degree,east north central,1,1.0,Jedi fiel,1
3291707153.0,yes,1,no,0.0,not_fan,2,low_consumption,1,greedo,no,0.0,,,no,0.0,male,30-44,"$50,000 - $99,999",bachelor degree,west south central,1,0.7142857142857143,Explorador casual,3
3291701619.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,18-29,,bachelor degree,new england,1,0.8571428571428571,Jedi fiel,1
