respondent_id,movie_code,has_seen_movie,movie_title,film_key,episode_order
3292366792.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292339379.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292330840.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292318652.0,seen_episode_i_the_phantom_menace,0,Episode I: The Phantom Menace,the_phantom_menace,1
3292297848.0,seen_episode_i_the_phantom_menace,0,Episode I: The Phantom Menace,the_phantom_menace,1
3292290677.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292281095.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292279889.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292264069.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292257520.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292249492.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292222729.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292221635.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292218251.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292214307.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292210606.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292202220.0,seen_episode_i_the_phantom_menace,0,Episode I: The Phantom Menace,the_phantom_menace,1
3292189580.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292187343.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292186608.0,seen_episode_i_the_phantom_menace,0,Episode I: The Phantom Menace,the_phantom_menace,1
3292178389.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292176862.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292173922.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292167131.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292162057.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292161407.0,seen_episode_i_the_phantom_menace,0,Episode I: The Phantom Menace,the_phantom_menace,1
3292156614.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292148570.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292144665.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292143503.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
3292131636.0,seen_episode_i_the_phantom_menace,1,Episode I: The Phantom Menace,the_phantom_menace,1
